logFC	logCPM	F	PValue	FDR	mrna
2.96359258557075	6.15687113676631	250.520926271981	2.61806737662764e-11	2.73241974480218e-09	SUT206
8.0466845908847	5.30458035325439	253.559176489935	2.6799798696608e-11	2.76525195642273e-09	CUT163
4.91766850063358	5.02008404352354	249.124094807993	2.7327285177132e-11	2.78799718436358e-09	CUT745
-1.93730939331858	8.5827342382585	246.07449884185	3.00318956387238e-11	3.02988458221792e-09	YJL158C
4.006958581459	6.06098014483686	245.497964772901	3.05763071837642e-11	3.05091065086351e-09	CUT879
7.91568197669569	3.2991111045451	241.659485421255	3.44965326259551e-11	3.40465778525731e-09	CUT170
-1.75998919557221	6.46888345932663	239.7978456267	3.65988128477449e-11	3.57330344793036e-09	SUT033
7.47926453940292	4.17955319637135	238.213884764326	3.85012224663046e-11	3.71905425525581e-09	CUT629
4.34789378403539	5.71295491004428	236.085354332905	4.12349841796514e-11	3.94119638264458e-09	CUT677
-2.85423534490437	7.50405540223421	235.301922974481	4.22955270931286e-11	4.00045193755841e-09	YCL030C
10.7107772225397	4.63245267683093	310.386489032279	4.38290812883251e-11	4.10276348554631e-09	CUT243
3.25811342318978	5.95273802880948	232.596964193851	4.619977205002e-11	4.28055030830797e-09	YLR171W
-1.31832390374426	7.8376617024685	229.613088051208	5.09832583369025e-11	4.67604025958661e-09	YPL218W
2.23775595781861	7.98767799326329	229.265709575601	5.15754136367055e-11	4.68304755821286e-09	NUT0903
3.21797043619715	5.42192185498493	225.985485950614	5.75643927153714e-11	5.17509589956012e-09	XUT_16F-334
2.17555566581426	6.18442885061965	224.97753424712	5.95586788788351e-11	5.30189023744925e-09	NUT0424
10.1645353869617	3.94240882322157	432.365807818652	6.11489104395555e-11	5.39060297855499e-09	CUT365
5.19896365033977	4.83709077479431	222.977165480182	6.3750563873398e-11	5.52549913982178e-09	CUT820
4.91678253858428	4.92282546149243	222.806520185906	6.41232284526967e-11	5.52549913982178e-09	XUT_10F-158
-1.43041736251619	7.9906570444234	222.632980087517	6.45047256410913e-11	5.52549913982178e-09	YGR032W
-1.64646569925262	6.22097662766217	221.412915857722	6.72599058736046e-11	5.70766304048906e-09	NUT0951
1.81123298094113	6.38386436374213	221.055583937345	6.80916820692169e-11	5.72297449506531e-09	YJR046W
4.33181207388017	6.25320280269752	225.17616943906	6.87009052821717e-11	5.72297449506531e-09	XUT_14F-236
5.9921144824936	3.64364717323052	220.338343934246	6.97963259399265e-11	5.76136945031394e-09	XUT_14R-327
3.01649616670366	4.09332855283767	219.186924567865	7.263402920815e-11	5.94159446135137e-09	XUT_16F-197
4.62739233322183	6.17537091934651	224.688258222411	7.35152379874962e-11	5.95998536541487e-09	YLR255C
4.62668807821701	4.31493566641661	218.020887080702	7.56404813811391e-11	6.07801390213047e-09	CUT466
4.42914039972086	4.22572005254039	217.550847559466	7.68917253358992e-11	6.1243584741225e-09	CUT732
5.74844669465272	6.78801923970005	241.878307869404	7.98555863698869e-11	6.30511934120498e-09	YLR349W
4.89386846650894	4.4477851369597	212.739464534119	9.11284214787792e-11	7.13315575023547e-09	CUT275
3.80019665298251	5.30860170273116	211.776728599025	9.43197264602158e-11	7.31985569451931e-09	CUT862
2.06648590299512	6.02173217346049	210.052767284202	1.00352931970403e-10	7.72207307026491e-09	NUT0319
5.51272312447917	6.37948727278064	227.350495886622	1.02535743270606e-10	7.82373570501765e-09	CUT226
9.27202525927599	3.43856472018512	272.466132181217	1.06630819687191e-10	8.06839868966408e-09	CUT762
2.60837432863336	7.37900633348693	208.063845146657	1.07858238558667e-10	8.09382484390658e-09	YBL003C
6.15865845250647	3.82991982382386	271.110354390398	1.10311215999704e-10	8.2100478793222e-09	SUT503
-1.72660474465925	11.6831648790325	204.127086304108	1.24647591654995e-10	9.17832887530304e-09	NUT0082
-9.37910596356385	3.92987631799652	383.38507888707	1.25342817239821e-10	9.17832887530304e-09	YJL044C
