"","RNA","WT_pBM5vscsl4ph_pBM5","WT_pBM5vsenp1_1_pBM5","WT_pBM5vscsl4ph_pBM766","WT_pBM5vsenp1_1_pBM766","WT_pBM5vsWT_pBM766","RNA_Class"
"1","lcl|BK006934.2_ncrna_2774",6.27529000521582,2.97954220279814,5.36149240545931,1.90358446251373,-0.421759186960085,"[locus_tag=snR32]"
"2","lcl|BK006934.2_ncrna_2791",2.88714453147404,2.87407408613214,1.99684969621294,2.5699263861908,0.41289779523893,"[locus_tag=snR71]"
"3","lcl|BK006936.2_ncrna_141",4.69501791985483,3.5102354584746,4.33777699335386,2.70869602968784,0.468136062907288,"[locus_tag=snR56]"
"4","lcl|BK006936.2_ncrna_257",5.54357833505826,2.82117740046963,5.44598200418248,1.75286188905857,0.32293433981582,"[locus_tag=snR161]"
"5","lcl|BK006937.2_ncrna_597",0.602429210901623,-0.849462485103412,-0.437297186035416,-0.817306197348902,0.00409166052373341,"[locus_tag=snR43]"
"6","lcl|BK006937.2_ncrna_620",1.14002658481447,-0.00428594967184702,-0.0599465388569227,-0.338538178494656,-0.239299580993458,"[locus_tag=snR33]"
"7","lcl|BK006937.2_ncrna_644",3.16607485390485,2.07625203881834,2.81611077677554,1.50329429066677,0.119692488824879,"[locus_tag=snR65]"
"8","lcl|BK006937.2_ncrna_646",5.82771290817119,1.49079622513834,4.89171035089995,1.27244924795167,-0.00183323346294829,"[locus_tag=snR189]"
"9","lcl|BK006938.2_ncrna_1003",2.80341422421986,2.67252088480956,2.38135935249837,2.09580445482932,0.366860241716145,"[locus_tag=snR47]"
"10","lcl|BK006938.2_ncrna_1445",6.14218649115336,2.22257285705515,5.11688712021542,1.92441782738416,0.225678704676722,"[locus_tag=snR13]"
