gene	Class
CUT327	I
CUT329	II
CUT330	I
CUT332	I
CUT334	III
CUT335	I
CUT340	I
CUT341	I
CUT350	V
CUT351	III
CUT352	I
CUT353	I
CUT355	III
CUT357	I
CUT358	III
CUT360	V
CUT362	I
CUT363	I
CUT364	I
CUT366	III
CUT367	III
CUT368	III
CUT374	I
CUT375	I
CUT376	II
CUT378	III
CUT379	III
CUT382	III
CUT383	III
CUT384	I
CUT385	I
CUT386	I
CUT387	II
CUT388	IV
CUT389	II
CUT390	III
CUT391	I
CUT395	II
CUT396	I
CUT398	III
CUT400	I
CUT401	IV
CUT402	III
CUT405	II
CUT407	III
CUT408	II
CUT409	I
CUT410	X
CUT411	I
CUT413	X
CUT417	III
CUT419	I
CUT420	I
CUT422	I
CUT423	I
CUT428	I
CUT430	II
CUT431	II
CUT432	I
CUT434	III
CUT435	I
CUT438	I
CUT439	I
CUT441	III
CUT442	IX
CUT443	III
CUT445	I
CUT446	III
CUT449	II
CUT453	III
CUT454	I
CUT455	I
CUT456	I
CUT458	II
CUT460	II
CUT461	I
CUT462	II
CUT465	IV
CUT466	I
CUT467	III
CUT468	I
CUT469	I
CUT470	II
CUT472	III
CUT473	III
CUT474	I
CUT475	I
CUT476	I
CUT479	II
CUT481	I
CUT482	III
CUT483	III
CUT487	I
CUT491	III
CUT493	IV
CUT494	IV
CUT496	X
CUT498	I
CUT499	II
CUT502	II
CUT503	II
CUT504	III
CUT506	I
CUT507	I
CUT508	I
CUT510	I
CUT513	I
CUT515	I
CUT516	II
CUT517	I
CUT518	I
CUT519	I
CUT522	I
CUT524	I
CUT528	III
CUT529	IV
CUT532	I
CUT534	III
CUT536	I
CUT539	V
CUT541	I
CUT543	III
CUT545	III
CUT547	I
CUT549	I
CUT550	I
CUT551	IV
CUT554	III
CUT557	IV
CUT558	I
CUT559	I
CUT560	I
CUT561	III
CUT562	III
CUT563	I
CUT564	III
CUT566	I
CUT568	I
CUT571	I
CUT572	I
CUT575	II
CUT577	I
CUT578	II
CUT579	II
CUT580	I
CUT581	I
CUT583	I
CUT584	I
CUT585	I
CUT587	I
CUT589	III
CUT590	III
CUT592	II
CUT593	I
CUT594	I
CUT596	II
CUT597	I
CUT599	II
CUT600	I
CUT601	III
CUT602	IX
CUT604	I
CUT605	I
CUT606	V
CUT607	III
CUT609	III
CUT610	I
CUT611	I
CUT612	I
CUT614	I
CUT615	I
CUT617	I
CUT618	I
CUT619	II
CUT620	I
CUT621	III
CUT626	I
CUT627	VIII
CUT630	III
CUT632	III
CUT633	III
CUT634	II
CUT638	I
CUT640	III
CUT642	I
CUT643	I
CUT644	I
CUT645	III
CUT646	I
CUT647	I
CUT649	III
CUT650	I
CUT653	III
CUT654	I
CUT655	I
CUT656	I
CUT657	I
CUT659	III
CUT661	III
CUT664	I
CUT665	IX
CUT667	I
CUT668	V
CUT669	I
CUT671	I
CUT672	II
CUT673	I
CUT674	I
CUT679	I
CUT683	I
CUT684	I
CUT686	III
CUT689	II
CUT692	III
CUT693	I
CUT694	II
CUT695	III
CUT697	I
CUT698	I
CUT699	I
CUT700	I
CUT701	I
CUT702	I
CUT704	I
CUT705	I
CUT707	I
CUT708	II
CUT710	III
CUT712	III
CUT714	I
CUT717	III
CUT720	III
CUT721	III
CUT722	I
CUT723	I
CUT724	II
CUT728	III
CUT731	I
CUT733	I
CUT735	I
CUT737	I
CUT738	I
CUT739	I
CUT740	I
CUT741	II
CUT742	I
CUT745	I
CUT746	III
CUT747	V
CUT748	II
CUT750	II
CUT751	I
CUT752	I
CUT753	III
CUT755	I
CUT756	III
CUT759	II
CUT761	I
CUT763	I
CUT767	I
CUT768	I
CUT769	I
CUT771	II
CUT775	II
CUT776	I
CUT777	II
CUT779	III
CUT780	I
CUT781	I
CUT782	I
CUT783	II
CUT784	VII
CUT785	I
CUT786	I
CUT788	I
CUT790	I
CUT793	II
CUT795	III
CUT798	III
CUT799	I
CUT800	II
CUT801	I
CUT802	I
CUT803	III
CUT804	I
CUT805	I
CUT806	I
CUT808	I
CUT809	I
CUT811	I
CUT812	I
CUT813	I
CUT814	IV
CUT815	III
CUT816	I
CUT817	III
CUT818	III
CUT819	III
CUT820	I
CUT824	III
CUT825	III
CUT826	X
CUT827	I
CUT831	I
CUT832	III
CUT833	I
CUT834	III
CUT835	I
CUT836	I
CUT837	I
CUT841	I
CUT842	I
CUT843	III
CUT844	III
CUT848	III
CUT854	I
CUT855	III
CUT857	III
CUT859	I
CUT860	I
CUT861	III
CUT862	I
CUT866	IX
CUT867	I
CUT868	I
CUT869	I
CUT871	I
CUT873	V
CUT874	I
CUT877	I
CUT879	II
CUT880	I
CUT881	III
CUT883	I
CUT884	III
CUT885	I
CUT888	III
CUT890	I
CUT891	III
CUT893	II
CUT895	II
CUT896	I
CUT897	II
CUT898	I
CUT902	I
CUT903	III
CUT907	I
CUT908	I
CUT909	III
CUT910	II
CUT912	I
CUT913	I
CUT914	III
CUT915	III
CUT916	II
CUT918	I
CUT919	I
CUT921	I
CUT922	I
CUT923	I
YDL209C	VII
YDR482C	III
YNL245C	VII
YPL064C	VIII
YKL096W	X
YKL096W-A	IX
YML054C	IX
YNL111C	IV
YJR048W	IV
YOR037W	VIII
YAL039C	VIII
YBR112C	VIII
YDR430C	VIII
YJL005W	IX
YAL012W	X
YGR155W	X
YOR065W	IX
YKL087C	II
YDR016C	V
YKR083C	V
YBR233W-A	VI
YDR320C-A	V
YML070W	X
YIR027C	X
YIR032C	II
YIR023W	IX
YNL314W	IX
YGR113W	IX
YJR151C	IV
YPL170W	IV
YJL149W	VI
YML113W	VII
YPR111W	VIII
YPL119C	III
YDL031W	IX
YNL112W	IV
YGL078C	VII
YNR038W	VII
YKR024C	VII
YHR169W	IV
YLR276C	VI
YKL149C	IX
YOL149W	V
YNL118C	VI
YLR361C	VII
YOR173W	VIII
YER143W	VII
YOL052C-A	IX
YMR173W	X
YOR204W	X
YHR019C	X
YKL054C	IV
YFL001W	VII
YAL013W	VII
YBR201W	VI
YMR238W	X
YOR245C	VIII
YOR311C	VIII
YDL160C	VIII
YHR011W	IX
YPR082C	VIII
YLR348C	IV
YKL002W	V
YGR227W	VI
YLR437C	IV
YPL049C	VIII
YDR263C	VIII
YLR129W	VI
YPL265W	II
YOL021C	X
YIR004W	VI
YDL174C	VIII
YDL178W	IX
YEL071W	IV
YJL065C	VII
YMR126C	VI
YHR115C	VIII
YMR211W	II
YHR164C	VI
YER166W	VIII
YDR093W	VIII
YLL001W	VIII
YKL213C	VII
YGL240W	VII
YNL001W	IV
YDR141C	VI
YDR440W	VI
YIL010W	VII
YPR175W	VIII
YBR278W	IX
YKL191W	X
YDR294C	IX
YPR183W	VIII
YDR284C	IX
YLL018C	X
YLL008W	IX
YAL026C	IX
YGL196W	IX
YHR143W	IV
YOR264W	IX
YNR067C	X
YEL070W	IV
YBR007C	VI
YNL258C	VI
YMR287C	VI
YDL219W	V
YFR044C	X
YBR281C	IX
YGL061C	V
YHL016C	II
YLR401C	VI
YBR252W	IX
YDR424C	V
YMR299C	V
YHR068W	X
YDR359C	VI
YJR082C	VI
YNL136W	VI
YKL204W	VI
YMR171C	IX
YKL172W	VII
YGR146C	II
YEL030W	VII
YHR021W-A	III
YBL043W	IX
YMR128W	VI
YLR390W	VII
YBR065C	VI
YBL101C	VIII
YHL030W	X
YLR436C	VIII
YBR176W	IV
YBR078W	X
YLR299W	IV
YMR176W	VI
YKR004C	V
YGR007W	IX
YER035W	IV
YEL015W	IV
YBL047C	VIII
YBR033W	II
YPL095C	VIII
YAL003W	X
YGR271C-A	IX
YHL039W	X
YMR212C	IX
YOR133W	X
YDR385W	X
YPL037C	X
YHR193C	X
YNL327W	X
YDR036C	IV
YBR177C	VIII
YMR031C	VI
YDR147W	VI
YPL046C	III
YKL160W	VIII
YOR144C	VI
YKL048C	VII
YGR200C	VI
YPL086C	VIII
YMR312W	IX
YCL045C	VIII
YJR088C	VII
YLL014W	IV
YDR512C	V
EMI5	VIII
YGL200C	VI
YFL048C	X
YLR083C	VIII
YDR040C	X
YOL158C	X
YNL084C	VIII
YGR254W	X
YHR174W	X
YBR247C	VII
YGR145W	VI
YDL161W	VII
YLR206W	VIII
YLL038C	VII
YDR153C	VI
YGR071C	VI
YOR246C	VII
YFL024C	VI
YIL005W	VII
YHR123W	VI
YDR414C	III
YLR246W	II
YGR175C	VII
YPL028W	X
YHR007C	IV
YMR208W	IX
YML126C	X
YMR202W	IX
YGR060W	X
YGL001C	X
YLR100W	IV
YER044C	II
YLR056W	IV
YML008C	IV
YHR072W	VII
YHR190W	IX
YPL096C-A	V
YFR041C	VII
YAR002C-A	IX
YHR110W	IX
YBR239C	II
YGL054C	IX
YBR210W	V
YML012W	IX
YGR284C	X
YOL017W	IV
YNR054C	VI
YGR098C	VI
YLR318W	IX
YIL009C-A	I
YHL010C	IX
YBR026C	X
YOR051C	VIII
YLR300W	X
YDR261C	IV
YOR033C	VI
YBR163W	IV
YJL085W	IV
YBR102C	VI
YOR317W	X
YIL009W	IX
YMR246W	IV
YFR019W	X
YDL045C	VIII
YIL019W	VI
YDR021W	V
YNL023C	VII
YJL157C	VI
YLR238W	V
YMR052W	IV
YFR008W	IX
YMR029C	VII
YKL182W	X
YPL231W	VIII
YBR041W	IX
YKL060C	X
YJL155C	IX
YDR339C	VI
YMR277W	IX
YPR062W	X
YER056C	IV
FEN1	X
YCR028C	VII
YBR101C	VI
YMR058W	X
YMR319C	IV
YFL041W	IV
YPR104C	VIII
YBR040W	IV
YCR089W	VI
YNL325C	VIII
YDR130C	VII
YJR093C	VII
YER032W	IX
YIL065C	IV
YOR382W	II
YOR383C	IX
YIL131C	VII
YLR342W	X
YMR306W	IV
YPL221W	VIII
YGL139W	X
YIL134W	II
YIL098C	V
YDR236C	VIII
YHR176W	IX
YER182W	VIII
YDR070C	I
FMP21	IX
YBR047W	III
YLR454W	X
YPL103C	VIII
YJL161W	III
FMP37	VII
YNL168C	VII
YMR020W	VIII
YBL013W	VII
YMR113W	VII
YNR047W	VIII
YNL135C	IX
YDR519W	IX
YML074C	VIII
YLR449W	IX
YLL043W	VIII
YLL029W	VIII
YGL220W	VI
YLR214W	V
YNR060W	II
YOR384W	I
YLL051C	VIII
YPL141C	IX
YLR060W	VIII
YOR324C	VIII
YMR222C	VII
YER145C	IV
YBL042C	I
YPL262W	X
YAL035W	VIII
YAL022C	VII
YAL019W	IX
YHR128W	IV
YBR021W	IV
YCL027W	IV
YMR232W	IX
YBL016W	IV
YDR024W	IX
YIL097W	VII
YOR183W	III
YHR059W	V
YCL058C	IX
YNL133C	IV
YLR068W	V
YGR196C	VII
YBR179C	VI
YLR459W	VIII
YOR178C	V
YMR250W	IX
YLR081W	IX
YDR009W	II
YBR018C	II
YML051W	X
YMR307W	X
YMR215W	X
YFL021W	IV
YOR260W	VIII
YER025W	VIII
YGR083C	VI
YDR211W	VII
YLR291C	VII
YGL195W	X
YDR283C	VI
YFR009W	VIII
YKR026C	VIII
YEL009C	VIII
YGR252W	IX
YPL075W	VI
YNL199C	VI
YDL226C	VII
YDR019C	IX
YAL044C	X
YOR120W	IX
YEL042W	VIII
YOR375C	X
YDL215C	IV
YAL062W	III
YER136W	X
YOR355W	IX
YBR187W	VIII
YJR031C	IX
YEL022W	IX
YJR040W	VII
YAL048C	VII
YLR091W	II
YGL020C	VII
YER083C	IV
YDL100C	X
YOR164C	IX
YCL073C	I
YKR106W	II
YKL104C	X
YCL036W	IX
YHR108W	X
YDL198C	IV
YHR061C	VI
YMR135C	IV
YNL153C	VII
YEL003W	V
YML094W	V
YDR507C	VI
YPL137C	VIII
YAL031C	VIII
YDR152W	VI
YNL255C	IX
YLR094C	VII
YML006C	VIII
YCR098C	II
YER133W	VI
YDL207W	VIII
YJL137C	IX
YCL040W	X
YPR035W	IV
YOR168W	X
YER122C	IX
YPL091W	VIII
YDL171C	X
YEL046C	IV
YKR030W	IX
YFL017C	VI
YHR183W	X
YDR508C	II
YJL184W	VII
YMR292W	VI
YHR005C	VII
YER020W	IX
YOR371C	IV
YDL022W	IX
YGL121C	III
YGL142C	VIII
YJR013W	IX
YNL038W	V
YHR188C	X
YDR331W	IX
YKL152C	X
YDL021W	II
YDL035C	VI
YOL151W	VIII
YDR517W	X
YJR090C	IX
YBR121C	X
YPR081C	VIII
YCL035C	VI
YDR513W	IX
YER174C	IX
YPL059W	VIII
YLR364W	III
YGR032W	X
YML048W	IX
YJL101C	VII
YOL049W	X
YLR293C	X
YFR015C	IV
YLR258W	VIII
YGR154C	IV
YGL181W	VII
YMR217W	X
YDL238C	VII
YLR289W	VII
YGL084C	IX
YGL245W	X
YHL032C	X
YIL155C	IV
YIL041W	X
YMR192W	VI
YPL249C	VIII
YDL234C	VIII
YJL110C	V
YPR008W	IV
YFL031W	X
YJL165C	VI
YOL089C	VI
YJR069C	IX
YLR256W	X
YBL021C	II
YKL109W	IX
YMR290C	IX
YEL056W	VII
YKR084C	VIII
YDL223C	VIII
YJL033W	VII
YNL281W	IV
YCR065W	IX
YLR192C	IX
YKL017C	VII
YNL021W	VII
YDR295C	IV
YPR179C	VI
YNL014W	VII
YBL032W	X
YDR232W	VIII
YDR047W	IV
YDR044W	IX
YER014W	VIII
YOR176W	X
YDL205C	VII
YOR278W	I
YOR227W	IV
YOR237W	II
YMR207C	IX
YPL254W	VI
YGR187C	VI
YBR009C	IX
YNL030W	IX
YPL127C	VIII
YBR010W	IV
YNL031C	IX
YLL022C	II
YGR191W	IX
YOR038C	IX
YER055C	X
YFR025C	IV
YCL030C	IV
YIL116W	IV
YJR055W	V
YDR420W	IX
YMR161W	IX
YDR528W	IX
YER057C	X
YML075C	IX
YLR450W	VIII
YOL095C	VII
YCL066W	III
YCL067C	V
YDR174W	VII
YCR097W	V
YCR096C	VI
YOR032C	I
YJR147W	IV
YBR034C	VII
YLR205C	II
YGL077C	VIII
YDL125C	IV
YDR305C	VI
YDL227C	IX
YJR075W	VIII
YMR032W	VIII
YDR158W	X
YER052C	IX
YJR139C	X
HOR2	X
YMR251W-A	IX
YGL194C	VII
YPL116W	VIII
YPR193C	IV
YEL066W	III
YBR215W	V
YDR138W	VII
YDR399W	II
YNL004W	VI
YOL013C	VII
YOR267C	VIII
YOL123W	IV
YDR291W	IX
YPL204W	VIII
YLR097C	VII
YMR186W	X
YGL073W	VI
YKL138C-A	VI
YBR133C	VI
YOR020C	IX
YLL026W	X
YFL014W	X
YJL159W	VIII
YCR021C	VIII
YPL280W	IV
YLR259C	X
YDR258C	VIII
YPL240C	VIII
YOL068C	IX
YPL015C	VIII
YOR025W	VII
YDR191W	VII
YGR223C	IX
YDR225W	IX
YBL003C	IV
YDR224C	IX
YBL002W	IX
YHR067W	II
YCR020W-B	VI
YOL012C	IV
YGR268C	VIII
YPL244C	VIII
YFR053C	X
YGL253W	X
YHR094C	IV
YFL011W	X
YNR072W	X
YDR345C	VII
YHR096C	VIII
YDR343C	X
YDR342C	X
YKL189W	IV
YIR037W	X
YOR126C	VII
YNL164C	VI
YIL090W	IX
YBR157C	IV
YJL077C	I
YLR099C	II
YMR195W	II
YPL250C	II
YDL066W	X
YLR174W	IV
YNL009W	IV
YFL013C	X
YOR189W	VI
YER092W	IV
YEL044W	II
YBR159W	X
YLR223C	V
YOL023W	VI
YHR132W-A	VIII
YHR187W	X
YLR384C	X
YJL057C	VIII
